time,title,company,county,distinct,exeperience,education,wage,url
2023/4/23,集團 生產規劃與資料分析工程師,捷安特 YouBike_巨大機械工業股份有限公司,台中市,西屯區,2年以上,大學,45000,https://www.104.com.tw/job/7yl7s?jobsource=jolist_a_relevance
2023/4/23,國網中心/科技部「建置國家級之友善生醫資料分析與分享平台」/專案管理計畫人員/1人(109_41_7),財團法人國家實驗研究院,新竹市,,經歷不拘,大學,46400,https://www.104.com.tw/job/74wdj?jobsource=jolist_a_relevance
2023/4/23,工研院資通所_金融數據資料分析工程師(T4),工研院 _財團法人工業技術研究院,新竹縣,竹東鎮,經歷不拘,碩士,45000,https://www.104.com.tw/job/7v7am?jobsource=jolist_a_relevance
2023/4/23,資料分析師( Digital Marketing Data Analyst）,和泰聯網股份有限公司,台北市,中山區,2年以上,大學,45000,https://www.104.com.tw/job/72ycg?jobsource=jolist_a_relevance
2023/4/23,資料分析師 Data Analyst (台南/Tainan/台北/Taipei),凱鈿行動科技股份有限公司,台南市,永康區,經歷不拘,大學,45000,https://www.104.com.tw/job/6y9f6?jobsource=jolist_a_relevance
2023/4/23,4B新光銀行_數位資料分析師,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市,松山區,3年以上,大學,45000,https://www.104.com.tw/job/7t88j?jobsource=jolist_a_relevance
2023/4/23,資料分析師【明基BenQ雲端創新中心】,明基電通股份有限公司,台北市,內湖區,經歷不拘,碩士,45000,https://www.104.com.tw/job/6mfgt?jobsource=jolist_a_relevance
2023/4/23,【誠品線上】資料分析師,誠品生活股份有限公司,台北市,信義區,經歷不拘,大學,45000,https://www.104.com.tw/job/7u0so?jobsource=jolist_a_relevance
2023/4/23,國衛院「生醫大數據資料分析」研究助理,財團法人國家衛生研究院,苗栗縣,竹南鎮,經歷不拘,大學,34000,https://www.104.com.tw/job/6zkvc?jobsource=jolist_a_relevance
2023/4/23,資料分析人員(利澤廠),台灣半導體股份有限公司,宜蘭縣,五結鄉,3年以上,大學,31500,https://www.104.com.tw/job/7wc1g?jobsource=jolist_a_relevance
2023/4/23,【Start up! 2023實習-在台達開創你的達時代！】資料分析/深度學習 實習生(中壢),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市,中壢區,經歷不拘,大學,28000,https://www.104.com.tw/job/7y92u?jobsource=jolist_a_relevance
2023/4/23,"研究及資料整理 實習生(男女不拘, 具資料分析, 電腦及外語能力尤佳, 學校實習可)",帕奇巨科技股份有限公司,新竹縣,竹北市,經歷不拘,大學,45000,https://www.104.com.tw/job/7pc7y?jobsource=jolist_a_relevance
2023/4/23,【採線上面談】Data Analyst 資料分析師,新加坡商鈦坦科技股份有限公司台灣分公司,台北市,南港區,經歷不拘,學歷不拘,70000,https://www.104.com.tw/job/7h9ml?jobsource=jolist_a_relevance
2023/4/23,資深數據分析師 【資料分析應用處/高雄】,邁達特數位股份有限公司,高雄市,左營區,5年以上,專科,45000,https://www.104.com.tw/job/7oyme?jobsource=jolist_a_relevance
2023/4/23,大數據資料分析師暨專案管理[112-8_CHM-06],中華電信股份有限公司,台北市,中正區,經歷不拘,大學,45000,https://www.104.com.tw/job/7yutl?jobsource=jolist_a_relevance
2023/4/23,資料分析師,北方國際有限公司,新北市,八里區,2年以上,大學,37500,https://www.104.com.tw/job/773rq?jobsource=jolist_a_relevance
2023/4/23,Data Analyst 資料分析師- O81,德商foodpanda台灣總部_富胖達股份有限公司,台北市,內湖區,2年以上,大學,45000,https://www.104.com.tw/job/7gufw?jobsource=jolist_a_relevance
2023/4/23,(T)Data Analyst 資料分析師 / Business Intelligence,新加坡商蝦皮娛樂電商有限公司台灣分公司,台北市,信義區,1年以上,大學,45000,https://www.104.com.tw/job/7y0mb?jobsource=jolist_a_relevance
2023/4/23,(S)Data Analyst 資料分析師 / Business Intelligence,新加坡商蝦皮娛樂電商有限公司台灣分公司,台北市,信義區,1年以上,大學,45000,https://www.104.com.tw/job/7y0nk?jobsource=jolist_a_relevance
2023/4/23,商業數據分析師(BUSINESS ANALYST),艾思網絡股份有限公司,台北市,中正區,2年以上,碩士,45000,https://www.104.com.tw/job/6i8ue?jobsource=jolist_a_relevance
2023/4/23,巨量資料分析工程師（自動化/安南區）,光洋應用材料科技股份有限公司,台南市,安南區,3年以上,大學,45000,https://www.104.com.tw/job/76it9?jobsource=jolist_a_relevance
2023/4/23,(O)Data Analyst 資料分析師 / Business Intelligence,新加坡商蝦皮娛樂電商有限公司台灣分公司,台北市,中正區,1年以上,大學,45000,https://www.104.com.tw/job/7y0mk?jobsource=jolist_a_relevance
2023/4/23,*【Hot Job｜全球知名外商投信集團】Business Intelligence Analyst 商業數據分析師 / 薪資依經驗可議 / 歡迎具金融數據資料分析經驗者｜TTS,藝珂人事顧問股份有限公司,台北市,中山區,1年以上,大學,45000,https://www.104.com.tw/job/5x4ud?jobsource=jolist_a_relevance
2023/4/23,採購暨資料分析主管(台北總公司),富食品股份有限公司,台北市,南港區,8年以上,大學,45000,https://www.104.com.tw/job/7jc5j?jobsource=jolist_a_relevance
2023/4/23,【Start up! 2023實習-在台達開創你的達時代！】資料分析實習生_人力資源處(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市,內湖區,經歷不拘,大學,32000,https://www.104.com.tw/job/7y82i?jobsource=jolist_a_relevance
2023/4/23,2023_A+種子暑期實習_大數據與資料分析(新竹),友達光電股份有限公司,新竹市,,經歷不拘,大學,41500,https://www.104.com.tw/job/7x21i?jobsource=jolist_a_relevance
2023/4/23,I171 資料分析技術主管(可遠端工作),台灣大哥大股份有限公司,台北市,大安區,10年以上,學歷不拘,45000,https://www.104.com.tw/job/7qalr?jobsource=jolist_a_relevance
2023/4/23,企劃室經濟分析單元【數據分析暨可視化儀表板開發師】助理/副研究員,財團法人食品工業發展研究所_食品所,新竹市,,經歷不拘,大學,40900,https://www.104.com.tw/job/7jr2y?jobsource=jolist_a_relevance
2023/4/23,[R]資料分析工程師(華亞廠),穩懋半導體股份有限公司,桃園市,龜山區,經歷不拘,碩士,45000,https://www.104.com.tw/job/5u8no?jobsource=jolist_a_relevance
2023/4/23,JL - [知名美商科技業] - 資料分析Sales Operation Specialist (Data Analysis) - 英文中上/環境同事好/穩定大公司,新加坡商立可人事顧問有限公司台灣分公司,台北市,中山區,5年以上,大學,45000,https://www.104.com.tw/job/6xzdt?jobsource=jolist_a_relevance
2023/4/23,(資深)機器學習工程師 (Senior) ML Engineer,果實夥伴股份有限公司,台北市,內湖區,1年以上,大學,45000,https://www.104.com.tw/job/7ekyy?jobsource=jolist_a_relevance
2023/4/23,2023_A+種子暑期實習_大數據與資料分析(台中),友達光電股份有限公司,台中市,西屯區,經歷不拘,大學,41500,https://www.104.com.tw/job/7x1k9?jobsource=jolist_a_relevance
2023/4/23,【管理與數位科技顧問服務】 零售業/模型資料分析顧問,勤業眾信聯合會計師事務所,台北市,信義區,1年以上,大學,45000,https://www.104.com.tw/job/42d1q?jobsource=jolist_a_relevance
2023/4/23,【QuickseeK】數據分析專案管理專員,影響力數據顧問股份有限公司,台北市,松山區,經歷不拘,大學,41000,https://www.104.com.tw/job/7gjqy?jobsource=jolist_a_relevance
2023/4/23,國網中心/高速計算應用組/「健康大數據永續平台」_建置國家級之友善生醫資料分析與分享平台計畫/前端網頁設計專案計畫人員/1人(111_01_2),財團法人國家實驗研究院,新竹市,,1年以上,大學,46000,https://www.104.com.tw/job/7inra?jobsource=jolist_a_relevance
2023/4/23,AI演算法工程師 / AI Algorithm Engineer,大數據股份有限公司,台北市,中山區,經歷不拘,大學,45000,https://www.104.com.tw/job/54ffa?jobsource=jolist_a_relevance
2023/4/23,國網中心/資料科學與科技組/專案計畫人員/1人(112_03),財團法人國家實驗研究院,新竹市,,經歷不拘,大學,46400,https://www.104.com.tw/job/7x031?jobsource=jolist_a_relevance
2023/4/23,營運數據分析工程師【備宿舍】,岱妮蠶絲股份有限公司,新北市,三重區,2年以上,學歷不拘,47500,https://www.104.com.tw/job/7etz4?jobsource=jolist_a_relevance
2023/4/23,SPC 統計製程管制工程師,晶成半導體股份有限公司,新竹市,,1年以上,大學,45000,https://www.104.com.tw/job/7xvom?jobsource=jolist_a_relevance
2023/4/23,總公司 價格分析師 Pricing Database Management & Analyst_台北,法商家樂福總公司_家福股份有限公司,台北市,北投區,3年以上,大學,45000,https://www.104.com.tw/job/7q742?jobsource=jolist_a_relevance
2023/4/23,數據分析管理師,宏正自動科技股份有限公司,新北市,汐止區,3年以上,大學,45000,https://www.104.com.tw/job/7xmpz?jobsource=jolist_a_relevance
2023/4/23,數據分析專員,永立數位有限公司,台北市,內湖區,經歷不拘,大學,45000,https://www.104.com.tw/job/7xr0n?jobsource=jolist_a_relevance
2023/4/23,物流統計分析專員,瑞師科技股份有限公司,台北市,大安區,經歷不拘,大學,45000,https://www.104.com.tw/job/7sxbl?jobsource=jolist_a_relevance
2023/4/23,Contracted (Sr.) Data Analyst,台灣諾和諾德藥品股份有限公司,台北市,大安區,經歷不拘,專科,45000,https://www.104.com.tw/job/7ul04?jobsource=jolist_a_relevance
2023/4/23,資料工程師 (BI分析),雄獅資訊科技股份有限公司,台北市,內湖區,經歷不拘,大學,47500,https://www.104.com.tw/job/3o2f1?jobsource=jolist_a_relevance
2023/4/23,政策數據分析師,影響力數據顧問股份有限公司,台北市,松山區,1年以上,大學,39000,https://www.104.com.tw/job/7kguk?jobsource=jolist_a_relevance
2023/4/23,校務研究辦公室 資料分析專員,國立臺灣師範大學_資訊工程學系,台北市,大安區,經歷不拘,碩士,45000,https://www.104.com.tw/job/71scz?jobsource=jolist_a_relevance
2023/4/23,高級商業數據分析師(數位事業部/數據暨會員經營組),TVBS_聯利媒體股份有限公司,台北市,內湖區,8年以上,大學,45000,https://www.104.com.tw/job/7tnvl?jobsource=jolist_a_relevance
2023/4/23,產品企劃及市場分析專員,嘉誠化學股份有限公司,台南市,新市區,3年以上,大學,31500,https://www.104.com.tw/job/73z7k?jobsource=jolist_a_relevance
2023/4/23,資料科學家,新呈工業股份有限公司,新北市,汐止區,經歷不拘,大學,45000,https://www.104.com.tw/job/7viot?jobsource=jolist_a_relevance
2023/4/23,數據企劃專員(經營分析/數據決策專案),全家便利商店股份有限公司,台北市,中山區,3年以上,碩士,44500,https://www.104.com.tw/job/7yk67?jobsource=jolist_a_relevance
2023/4/23,AI Data Scientist _ DSM AOT (AIP) (Taipei / Taichung),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市,內湖區,3年以上,碩士,45000,https://www.104.com.tw/job/7w2nr?jobsource=jolist_a_relevance
2023/4/23,JAVA/SQL 程式設計師,台灣經濟新報文化事業股份有限公司,台北市,信義區,1年以上,大學,45000,https://www.104.com.tw/job/7twkv?jobsource=jolist_a_relevance
2023/4/23,[PM] 產品經理（數據分析）Junior Product Manager / 線上面談,凱文科技服務有限公司,台北市,內湖區,1年以上,大學,65000,https://www.104.com.tw/job/7wdta?jobsource=jolist_a_relevance
2023/4/23,YFG-數據策略規劃師(新店),裕融企業股份有限公司,新北市,新店區,5年以上,大學,52500,https://www.104.com.tw/job/7u176?jobsource=jolist_a_relevance
2023/4/23,【風險諮詢】金融(數位)風險管理諮詢/數據分析顧問,勤業眾信聯合會計師事務所,台北市,信義區,經歷不拘,大學,45000,https://www.104.com.tw/job/55gzb?jobsource=jolist_a_relevance
2023/4/23,數據分析人員 | 日系知名國際金融業 | 台北 508004,台灣邁那比股份有限公司,台北市,中山區,經歷不拘,專科,40000,https://www.104.com.tw/job/7e22n?jobsource=jolist_a_relevance
